question,answer
Hi,Hi! How can I assist you today?
A,"B"
C,"D"
E,"F"
G,"H" 
I,"@contact Admin"
U,"@contact Admin"
Hey,Hello there! How's your day going?
Hello,Hi! What can I help you with?
What is AI?,AI stands for Artificial Intelligence a simulation of human intelligence in machines.
Goodbye,Bye! Have a great day ahead!
Monish,Hi Monish! How are you doing?
Bye?,Goodbye ! Have a great day....!😍
What is Machine Learning?,Machine Learning is a subset of AI where machines learn from data and improve over time.
Thank you,You're welcome! Always happy to help.
How are you?,I'm doing great! How can I assist you today?
What is Python?,Python is a popular programming language known for its simplicity and versatility.
What is Java?,Java is a versatile programming language designed to be platform-independent.
I love you?,I Love You To❤️🤞
What is a computer?,A computer is an electronic device that processes data.
What is a bug?,A bug is an error flaw failure or fault in a computer program or system that causes it to produce an incorrect or unexpected result or to behave in unintended ways.
What is debugging?,Debugging is the process of finding and resolving bugs within computer programs software or hardware.
What is version control?,Version control is a system that records changes to a file or set of files over time so that you can recall specific versions later.
What is Git?,Git is a distributed version-control system for tracking changes in source code during software development.
What is a repository?,A repository is a central place where data is stored and managed.
What is a commit?,A commit is an operation which sends updated source code to the repository making it part of the head revision of that repository.
What is a branch?,A branch is a version of the repository that diverges from the main working project.
What is a merge?,A merge is an action taken to integrate changes from one branch into another branch.
What is a pull request?,A pull request is a method of submitting contributions to a development project.
What is an API?,API stands for Application Programming Interface a set of programming code that allows data transmission between one software product and another.
What is an SDK?,SDK stands for Software Development Kit a collection of software development tools in one installable package.
What is a library?,A library is a collection of prewritten code that users can use to optimize tasks.
What is a framework?,A framework is an abstraction in which software providing generic functionality can be selectively changed by additional user-written code.
What is a compiler?,A compiler is a computer program that translates computer code written in one programming language into another language.
What is an interpreter?,An interpreter is a computer program that directly executes instructions written in a programming or scripting language without previously compiling them into a machine-language program.
What is a debugger?,A debugger is a computer program used to test and debug other programs.
What is a database?,A database is an organized collection of structured information or data typically stored electronically in a computer system.
What is SQL?,SQL stands for Structured Query Language a domain-specific language used in programming and designed for managing data held in a relational database management system (RDBMS) or for stream processing in a relational data stream management system (RDSMS).
What is a server?,A server is a computer program or a device that provides functionality for other programs or devices called 'clients'.
What is a client?,A client is a piece of computer hardware or software that accesses a service made available by a server.
What is a web server?,A web server is server software or hardware dedicated to running said software that can satisfy World Wide Web client requests.
What is a file server?,A file server is a computer responsible for the central storage and management of data files so that other computers on the same network can access the files.
What is an email server?,An email server is a computer system that sends and receives email.
What is a proxy server?,A proxy server is a server application that acts as an intermediary between a client requesting a resource and a server providing that resource.
What is a virtual machine?,A virtual machine is an emulation of a computer system.
